Lat	Lon	ST_ID	Year	Month	Date_extracted	Batch	Volume_mL	Notes	PCR_name	
80	60	0004_80_60	2000	4	2019-06-26	4	125	low_normal	Miu_1_a_13	
86.7	50	0004_86.7_50	2000	4	2019-06-26	4	125	low_normal	Miu_1_a_14	
93.3	30	0004_93.3_30	2000	4	2019-06-26	4	125	low_normal	Miu_1_a_15	
93.3	60	0004_93.3_60	2000	4	2019-06-26	4	125	low_normal	Miu_1_a_16	
80	60	0104_80_60	2001	4	2019-06-26	5	75	full	Miu_1_a_17	
86.7	50	0104_86.7_50	2001	4	2019-06-26	5	125	normal	Miu_1_a_18	
93.3	30	0104_93.3_30	2001	4	2019-06-26	4	125	low_normal	Miu_1_a_19	
93.3	60	0104_93.3_60	2001	4	2019-06-26	4	125	low_normal	Miu_1_a_20	
80	60	0204_80_60	2002	4	2019-06-26	5	75	full	Miu_1_a_21	
86.7	50	0204_86.7_50	2002	4	2019-06-26	5	125	full	Miu_1_a_22	
93.3	30	0204_93.3_30	2002	3	2019-06-26	5	125	full	Miu_1_a_23	
93.3	60	0204_93.3_60	2002	3	2019-06-26	5	125	full	Miu_1_a_24	
80	60	0304_80_60	2003	4	2019-06-26	6	125	normal	Miu_1_a_25	
86.7	50	0304_86.7_50	2003	4	2019-06-26	6	125	normal	Miu_1_a_26	
93.3	30	0304_93.3_30	2003	4	2019-06-26	6	125	normal	Miu_1_a_27	
93.3	60	0304_93.3_60	2003	4	2019-06-26	6	125	normal	Miu_1_a_28	
80	60	0404_80_60	2004	4	2019-06-27	7	125	low_normal	Miu_1_a_29	
86.7	50	0404_86.7_50	2004	3	2019-06-27	7	125	low_normal	Miu_1_a_30	
93.3	30	0404_93.3_30	2004	3	2019-06-26	6	125	low	Miu_1_a_31	
93.3	60	0404_93.3_60	2004	3	2019-06-26	6	125	low_normal	Miu_1_a_32	
80	60	0504_80_60	2005	4	2019-06-27	7	125	low_normal	Miu_1_a_33	
86.7	50	0504_86.7_50	2005	4	2019-06-27	7	125	low	Miu_1_a_34	
93.3	30	0504_93.3_30	2005	4	2019-06-27	7	125	normal_orange	Miu_1_a_35	
93.3	60	0504_93.3_60	2005	4	2019-06-27	7	125	low_normal	Miu_1_a_36	
80	60	0604_80_60	2006	4	2019-06-27	8	125	low_normal_orange	Miu_1_a_37	
86.7	50	0604_86.7_50	2006	4	2019-06-27	8	125	low_normal	Miu_1_a_38	
93.3	30	0604_93.3_30	2006	4	2019-06-27	8	125	low_normal_orange	Miu_1_a_39	
93.3	60	0604_93.3_60	2006	4	2019-06-27	8	125	low_normal_orange	Miu_1_a_40	
80	60	0704_80_60	2007	4	2019-06-27	8	120	normal	Miu_1_a_41	
86.7	50	0704_86.7_50	2007	4	2019-06-27	9	125	low_normal	Miu_1_a_43	
93.3	30	0704_93.3_30	2007	3	2019-06-27	9	125	low_normal	Miu_1_a_44	
93.3	60	0704_93.3_60	2007	3	2019-06-27	8	125	low_normal	Miu_1_a_45	
86.7	50	0804_86.7_50	2008	4	2019-06-27	9	125	low_normal	Miu_1_a_46	
93.3	30	0804_93.3_30	2008	3	2019-06-27	9	125	normal	Miu_1_b_01	
93.3	60	0804_93.3_60	2008	3	2019-06-27	9	125	low_normal	Miu_1_b_02	
80	60	0903_80_60	2009	3	2019-06-28	10	125	full	Miu_1_b_03	
86.7	50	0903_86.7_50	2009	3	2019-06-28	10	34	full	Miu_1_b_04	
93.3	30	0903_93.3_30	2009	3	2019-06-28	10	125	normal	Miu_1_b_07	
93.3	60	0903_93.3_60	2009	3	2019-06-28	10	125	low_normal	Miu_1_b_08	
80	60	1004_80_60	2010	5	2019-06-28	11	125	full_orange	Miu_1_b_09	
93.3	30	1004_93.3_30	2010	4	2019-06-28	11	125	normal	Miu_1_b_10	
93.3	60	1004_93.3_60	2010	4	2019-06-28	11	125	full	Miu_1_b_11	
80	60	1104_80_60	2011	4	2019-06-28	12	50	full	Miu_1_b_12	
86.7	50	1104_86.7_50	2011	4	2019-06-28	11	125	normal_organge	Miu_1_b_13	
93.3	30	1104_93.3_30	2011	4	2019-06-28	11	125	low_normal	Miu_1_b_14	
93.3	60	1104_93.3_60	2011	4	2019-06-28	11	125	normal	Miu_1_b_15	
80	60	1203_80_60	2012	4	2019-06-28	12	125	full	Miu_1_b_16	
86.7	50	1203_86.7_50	2012	3	2019-06-28	12	125	low_normal	Miu_1_b_17	
93.3	30	1203_93.3_30	2012	3	2019-06-28	12	125	low_normal	Miu_1_b_18	
93.3	60	1203_93.3_60	2012	3	2019-06-28	12	125	low_normal	Miu_1_b_19	
80	60	1304_80_60	2013	4	2019-06-28	13	125	normal	Miu_1_b_20	
86.7	50	1304_86.7_50	2013	4	2019-06-28	13	125	normal	Miu_1_b_21	
93.3	30	1304_93.3_30	2013	4	2019-06-28	13	125	normal	Miu_1_b_22	
93.3	60	1304_93.3_60	2013	4	2019-06-28	13	125	normal	Miu_1_b_23	
80	60	1404_80_60	2014	4	2019-06-28	14	125	normal	Miu_1_b_24	
93.3	30	1404_93.3_30	2014	4	2019-06-28	13	125	normal_organge	Miu_1_b_26	
93.3	60	1404_93.3_60	2014	4	2019-06-28	13	125	normal_organge	Miu_1_b_27	
80	60	1504_80_60	2015	4	2019-06-28	14	100	full_orange	Miu_1_b_28	
86.7	50	1504_86.7_50	2015	4	2019-06-28	14	125	low_normal_orange	Miu_1_b_29	
93.3	30	1504_93.3_30	2015	4	2019-06-28	14	125	normal_orange	Miu_1_b_30	
93.3	60	1504_93.3_60	2015	4	2019-06-28	14	125	low_normal_orange	Miu_1_b_31	
86.7	50	1604_86.7_50	2016	4	2019-07-01	15	125	full	Miu_1_b_32	
93.3	30	1604_93.3_30	2016	4	2019-07-01	15	125	normal	Miu_1_b_34	
93.3	60	1604_93.3_60	2016	4	2019-07-01	15	125	normal	Miu_1_b_35	
80	60	1704_80_60	2017	4	2019-07-01	15	125	normal_organge	Miu_1_b_36	
86.7	50	1704_86.7_50	2017	4	2019-07-01	15	125	low	Miu_1_b_37	
93.3	60	1704_93.3_60	2017	3	2019-07-01	16	125	low	Miu_1_b_38	
80	60	1804_80_60	2018	4	2019-07-01	16	125	normal	Miu_1_b_39	
86.7	50	1804_86.7_50	2018	4	2019-07-01	16	125	low	Miu_1_b_40	
93.3	30	1804_93.3_30	2018	4	2019-07-01	16	125	low_normal_orange	Miu_1_b_42	
93.3	60	1804_93.3_60	2018	4	2019-07-01	16	125	low_normal_orange	Miu_1_b_43	
80	60	1904_80_60	2019	4	2019-07-01	17	125	full	Miu_1_b_44	
86.7	50	1904_86.7_50	2019	4	2019-07-01	17	125	low	Miu_1_b_46	
93.3	30	1904_93.3_30	2019	4	2019-07-01	17	125	normal_organge	Miu_1_b_47	
93.3	60	1904_93.3_60	2019	4	2019-07-01	17	125	low_orange	Miu_1_b_48	
80	60	9604_80_60	1996	4	2019-06-25	2	125	normal	Miu_1_a_01	
86.7	50	9604_86.7_50	1996	4	2019-06-25	2	125	normal	Miu_1_a_02	
93.3	30	9604_93.3_30	1996	4	2019-06-24	1	125	normal	Miu_1_a_03	
93.3	60	9604_93.3_60	1996	4	2019-06-25	2	125	normal	Miu_1_a_04	
80	60	9804_80_60	1998	4	2019-06-25	2	125	low_normal	Miu_1_a_05	
86.7	50	9804_86.7_50	1998	4	2019-06-25	2	125	crust	Miu_1_a_06	
93.3	30	9804_93.3_30	1998	4	2019-06-26	3	125	crust	Miu_1_a_07	
93.3	60	9804_93.3_60	1998	4	2019-06-25	2	125	low_normal	Miu_1_a_08	
