"cruise","ship","ship_code","order_occupied","tow_type","tow_number","net_location","time","end_time","latitude","longitude","line","station","standard_haul_factor","volume_sampled","proportion_sorted","mesh_size","description","year","month","season","Lon_deg_r","Lat_deg_r","site","year_site","year_season_site","cruise_site"
199604,"DAVID STARR JORDAN","JD",5,"CB",1,"S","1996/04/16 11:21:00","1996-04-16T11:42:35Z",32.513332,-118.21166,93.3,40,5.37,"397.7",0.5,"0.505","CalCOFI Oblique Bongo Tow (0.4 m^2 mouth area, 0.71-m diameter)","1996",4,"Spring",-118.2,32.5,"93.3_40","1996:93.3_40","1996:Spring93.3_40","199604:93.3_40"
199604,"DAVID STARR JORDAN","JD",55,"CB",1,"S","1996/04/29 01:05:00","1996-04-29T01:26:44Z",33.483334,-122.53333,80,80,4.9,"438.5",1,"0.505","CalCOFI Oblique Bongo Tow (0.4 m^2 mouth area, 0.71-m diameter)","1996",4,"Spring",-122.5,33.5,"80_80","1996:80_80","1996:Spring80_80","199604:80_80"
199610,"ROGER REVELLE","RR",2,"CB",1,"S","1996/10/11 00:58:00","1996-10-11T01:10:42Z",32.956665,-117.305,93.3,26.7,4.67,"260.4",1,"0.505","CalCOFI Oblique Bongo Tow (0.4 m^2 mouth area, 0.71-m diameter)","1996",10,"Fall",-117.3,33,"93.3_26.7","1996:93.3_26.7","1996:Fall93.3_26.7","199610:93.3_26.7"
199610,"ROGER REVELLE","RR",3,"CB",1,"S","1996/10/11 04:26:00","1996-10-11T04:47:40Z",32.846664,-117.535,93.3,30,5.14,"401.7",1,"0.505","CalCOFI Oblique Bongo Tow (0.4 m^2 mouth area, 0.71-m diameter)","1996",10,"Fall",-117.5,32.8,"93.3_30","1996:93.3_30","1996:Fall93.3_30","199610:93.3_30"
199610,"ROGER REVELLE","RR",4,"CB",1,"S","1996/10/11 09:19:00","1996-10-11T09:40:13Z",32.68,-117.87334,93.3,35,5.19,"406.8",1,"0.505","CalCOFI Oblique Bongo Tow (0.4 m^2 mouth area, 0.71-m diameter)","1996",10,"Fall",-117.9,32.7,"93.3_35","1996:93.3_35","1996:Fall93.3_35","199610:93.3_35"
199610,"ROGER REVELLE","RR",5,"CB",1,"S","1996/10/11 13:35:00","1996-10-11T13:57:24Z",32.513332,-118.21333,93.3,40,4.79,"420.7",1,"0.505","CalCOFI Oblique Bongo Tow (0.4 m^2 mouth area, 0.71-m diameter)","1996",10,"Fall",-118.2,32.5,"93.3_40","1996:93.3_40","1996:Fall93.3_40","199610:93.3_40"
199610,"ROGER REVELLE","RR",22,"CB",1,"S","1996/10/18 17:05:00","1996-10-18T17:26:29Z",32.406666,-119.94833,90,60,4.94,"432.5",1,"0.505","CalCOFI Oblique Bongo Tow (0.4 m^2 mouth area, 0.71-m diameter)","1996",10,"Fall",-119.9,32.4,"90_60","1996:90_60","1996:Fall90_60","199610:90_60"
199610,"ROGER REVELLE","RR",24,"CB",1,"S","1996/10/19 17:18:00","1996-10-19T17:41:29Z",32.898335,-118.91167,90,45,4.2,"479.2",1,"0.505","CalCOFI Oblique Bongo Tow (0.4 m^2 mouth area, 0.71-m diameter)","1996",10,"Fall",-118.9,32.9,"90_45","1996:90_45","1996:Fall90_45","199610:90_45"
199610,"ROGER REVELLE","RR",25,"CB",1,"S","1996/10/20 02:23:00","1996-10-20T02:43:35Z",33.183334,-118.39,90,37,5.18,"411.8",1,"0.505","CalCOFI Oblique Bongo Tow (0.4 m^2 mouth area, 0.71-m diameter)","1996",10,"Fall",-118.4,33.2,"90_37","1996:90_37","1996:Fall90_37","199610:90_37"
199610,"ROGER REVELLE","RR",26,"CB",1,"S","1996/10/20 05:14:00","1996-10-20T05:33:46Z",33.251667,-118.25,90,35,5.06,"390.3",1,"0.505","CalCOFI Oblique Bongo Tow (0.4 m^2 mouth area, 0.71-m diameter)","1996",10,"Fall",-118.2,33.3,"90_35","1996:90_35","1996:Fall90_35","199610:90_35"
199610,"ROGER REVELLE","RR",28,"CB",1,"S","1996/10/20 14:23:00","1996-10-20T14:28:43Z",33.485,-117.76833,90,28,4,"116.8",1,"0.505","CalCOFI Oblique Bongo Tow (0.4 m^2 mouth area, 0.71-m diameter)","1996",10,"Fall",-117.8,33.5,"90_28","1996:90_28","1996:Fall90_28","199610:90_28"
199610,"ROGER REVELLE","RR",29,"CB",1,"S","1996/10/21 02:31:00","1996-10-21T02:36:29Z",33.888332,-118.49,86.7,33,4.08,"113.9",1,"0.505","CalCOFI Oblique Bongo Tow (0.4 m^2 mouth area, 0.71-m diameter)","1996",10,"Fall",-118.5,33.9,"86.7_33","1996:86.7_33","1996:Fall86.7_33","199610:86.7_33"
